date,segment,state,loan_count,loan_value_million
2012-12-01,Owner-occupier,VIC,19605,6969.0
2012-12-01,Owner-occupier,WA,11025,3946.0
2013-03-01,Owner-occupier,ACT,1520,571.8
2013-03-01,Owner-occupier,NSW,19210,7781.4
2013-03-01,Owner-occupier,NT,716,261.3
2013-03-01,Owner-occupier,QLD,15604,5145.7
2013-03-01,Owner-occupier,SA,5704,1612.5
2013-03-01,Owner-occupier,TAS,1516,368.3
2013-03-01,Owner-occupier,VIC,20163,7220.8
2013-03-01,Owner-occupier,WA,11569,4265.2
2013-06-01,Owner-occupier,ACT,1614,605.0
2013-06-01,Owner-occupier,NSW,20933,8325.8
2013-06-01,Owner-occupier,NT,701,272.5
2013-06-01,Owner-occupier,QLD,17075,5482.3
2013-06-01,Owner-occupier,SA,6301,1736.9
2013-06-01,Owner-occupier,TAS,1625,385.7
2013-06-01,Owner-occupier,VIC,21478,7541.7
2013-06-01,Owner-occupier,WA,12584,4588.0
2013-09-01,Owner-occupier,ACT,1993,725.4
2013-09-01,Owner-occupier,NSW,20986,8440.4
2013-09-01,Owner-occupier,NT,722,290.2
2013-09-01,Owner-occupier,QLD,17527,5592.6
2013-09-01,Owner-occupier,SA,6471,1776.8
2013-09-01,Owner-occupier,TAS,1784,421.5
2013-09-01,Owner-occupier,VIC,20715,7371.6
2013-09-01,Owner-occupier,WA,12278,4486.5
2013-12-01,Owner-occupier,ACT,1704,629.0
2013-12-01,Owner-occupier,NSW,21931,9019.7
2013-12-01,Owner-occupier,NT,725,284.0
2013-12-01,Owner-occupier,QLD,18258,5945.1
2013-12-01,Owner-occupier,SA,6679,1916.8
2013-12-01,Owner-occupier,TAS,1962,462.8
2013-12-01,Owner-occupier,VIC,21067,7677.8
2013-12-01,Owner-occupier,WA,12270,4616.3
2014-03-01,Owner-occupier,ACT,1839,686.5
2014-03-01,Owner-occupier,NSW,21323,9073.4
2014-03-01,Owner-occupier,NT,743,297.0
2014-03-01,Owner-occupier,QLD,18297,6150.9
2014-03-01,Owner-occupier,SA,6434,1864.4
2014-03-01,Owner-occupier,TAS,1937,457.6
2014-03-01,Owner-occupier,VIC,20847,7860.1
2014-03-01,Owner-occupier,WA,12409,4780.4
2014-06-01,Owner-occupier,ACT,1746,648.9
2014-06-01,Owner-occupier,NSW,21303,9020.5
2014-06-01,Owner-occupier,NT,792,314.7
2014-06-01,Owner-occupier,QLD,18141,6040.0
2014-06-01,Owner-occupier,SA,6547,1889.8
2014-06-01,Owner-occupier,TAS,1960,470.4
2014-06-01,Owner-occupier,VIC,21189,8026.7
2014-06-01,Owner-occupier,WA,12312,4761.7
2014-09-01,Owner-occupier,ACT,1914,702.3
2014-09-01,Owner-occupier,NSW,20867,8913.6
2014-09-01,Owner-occupier,NT,822,335.9
2014-09-01,Owner-occupier,QLD,18422,6171.4
2014-09-01,Owner-occupier,SA,6434,1887.9
2014-09-01,Owner-occupier,TAS,1863,453.7
2014-09-01,Owner-occupier,VIC,21282,8047.1
2014-09-01,Owner-occupier,WA,11874,4564.8
2014-12-01,Owner-occupier,ACT,1864,691.3
2014-12-01,Owner-occupier,NSW,21164,9198.9
2014-12-01,Owner-occupier,NT,791,322.3
2014-12-01,Owner-occupier,QLD,18080,6137.5
2014-12-01,Owner-occupier,SA,6399,1902.6
2014-12-01,Owner-occupier,TAS,1831,432.8
2014-12-01,Owner-occupier,VIC,21310,8173.1
2014-12-01,Owner-occupier,WA,11870,4522.8
2015-03-01,Owner-occupier,ACT,1923,741.8
2015-03-01,Owner-occupier,NSW,22187,9933.2
2015-03-01,Owner-occupier,NT,718,267.7
2015-03-01,Owner-occupier,QLD,18377,6264.2
2015-03-01,Owner-occupier,SA,6414,1951.7
2015-03-01,Owner-occupier,TAS,2041,487.4
2015-03-01,Owner-occupier,VIC,21895,8320.2
2015-03-01,Owner-occupier,WA,11417,4341.6
2015-06-01,Owner-occupier,ACT,1981,766.2
2015-06-01,Owner-occupier,NSW,21294,9861.4
2015-06-01,Owner-occupier,NT,702,265.1
2015-06-01,Owner-occupier,QLD,18270,6305.7
2015-06-01,Owner-occupier,SA,6238,1813.4
2015-06-01,Owner-occupier,TAS,1834,426.4
2015-06-01,Owner-occupier,VIC,21848,8691.5
2015-06-01,Owner-occupier,WA,10777,4112.8
2015-09-01,Owner-occupier,ACT,1849,740.8
2015-09-01,Owner-occupier,NSW,23829,12291.8
2015-09-01,Owner-occupier,NT,591,240.9
2015-09-01,Owner-occupier,QLD,18384,6568.9
2015-09-01,Owner-occupier,SA,6456,2018.4
2015-09-01,Owner-occupier,TAS,1872,449.6
2015-09-01,Owner-occupier,VIC,23235,10041.2
2015-09-01,Owner-occupier,WA,10551,4077.5
2015-12-01,Owner-occupier,ACT,1927,793.3
2015-12-01,Owner-occupier,NSW,23524,12178.3
2015-12-01,Owner-occupier,NT,675,241.8
2015-12-01,Owner-occupier,QLD,18085,6490.7
2015-12-01,Owner-occupier,SA,6440,2031.1
2015-12-01,Owner-occupier,TAS,1799,447.4
2015-12-01,Owner-occupier,VIC,23883,10468.2
2015-12-01,Owner-occupier,WA,10151,3945.5
2016-03-01,Owner-occupier,ACT,1934,776.5
2016-03-01,Owner-occupier,NSW,22875,11381.3
2016-03-01,Owner-occupier,NT,655,245.8
2016-03-01,Owner-occupier,QLD,18209,6404.5
2016-03-01,Owner-occupier,SA,6317,1951.7
2016-03-01,Owner-occupier,TAS,1776,444.4
2016-03-01,Owner-occupier,VIC,23365,9899.9
2016-03-01,Owner-occupier,WA,9715,3699.9
2016-06-01,Owner-occupier,ACT,2066,857.6
2016-06-01,Owner-occupier,NSW,23429,11562.0
