date,segment,loan_purpose,loan_count,loan_value_million
2011-12-01,Owner-occupier,Purchase of existing dwellings,57160.0,19806.1
2011-12-01,Owner-occupier,Purchase of newly erected dwellings,4961.0,1768.5
2011-12-01,Owner-occupier,Total,71070.0,24701.0
2012-03-01,Owner-occupier,"Alterations, additions and repairs",,760.1
2012-03-01,Owner-occupier,Construction of dwellings,9896.0,3352.4
2012-03-01,Owner-occupier,External refinancing,39448.0,11154.1
2012-03-01,Owner-occupier,Purchase of existing dwellings,57111.0,19791.8
2012-03-01,Owner-occupier,Purchase of newly erected dwellings,4878.0,1764.7
2012-03-01,Owner-occupier,Total,71907.0,25008.2
2012-06-01,Owner-occupier,"Alterations, additions and repairs",,721.4
2012-06-01,Owner-occupier,Construction of dwellings,9932.0,3410.4
2012-06-01,Owner-occupier,External refinancing,37740.0,10667.8
2012-06-01,Owner-occupier,Purchase of existing dwellings,55763.0,19688.2
2012-06-01,Owner-occupier,Purchase of newly erected dwellings,4976.0,1795.1
2012-06-01,Owner-occupier,Total,70806.0,24947.9
2012-09-01,Owner-occupier,"Alterations, additions and repairs",,718.8
2012-09-01,Owner-occupier,Construction of dwellings,10065.0,3475.8
2012-09-01,Owner-occupier,External refinancing,35973.0,10275.6
2012-09-01,Owner-occupier,Purchase of existing dwellings,57825.0,20638.3
2012-09-01,Owner-occupier,Purchase of newly erected dwellings,4739.0,1692.8
2012-09-01,Owner-occupier,Total,72510.0,25783.3
2012-12-01,Owner-occupier,"Alterations, additions and repairs",,744.3
2012-12-01,Owner-occupier,Construction of dwellings,9869.0,3405.0
2012-12-01,Owner-occupier,External refinancing,35986.0,10318.2
2012-12-01,Owner-occupier,Purchase of existing dwellings,58858.0,20969.2
2012-12-01,Owner-occupier,Purchase of newly erected dwellings,4740.0,1654.0
2012-12-01,Owner-occupier,Total,73162.0,26016.4
2013-03-01,Owner-occupier,"Alterations, additions and repairs",,717.1
2013-03-01,Owner-occupier,Construction of dwellings,10086.0,3494.0
2013-03-01,Owner-occupier,External refinancing,35601.0,10249.4
2013-03-01,Owner-occupier,Purchase of existing dwellings,61370.0,22059.5
2013-03-01,Owner-occupier,Purchase of newly erected dwellings,4791.0,1654.0
2013-03-01,Owner-occupier,Total,76121.0,27224.7
2013-06-01,Owner-occupier,"Alterations, additions and repairs",,730.6
2013-06-01,Owner-occupier,Construction of dwellings,10720.0,3777.2
2013-06-01,Owner-occupier,External refinancing,39214.0,11449.2
2013-06-01,Owner-occupier,Purchase of existing dwellings,67333.0,23494.2
2013-06-01,Owner-occupier,Purchase of newly erected dwellings,4728.0,1616.2
2013-06-01,Owner-occupier,Total,82732.0,28934.2
2013-09-01,Owner-occupier,"Alterations, additions and repairs",,719.1
2013-09-01,Owner-occupier,Construction of dwellings,10942.0,3809.1
2013-09-01,Owner-occupier,External refinancing,40006.0,11419.8
2013-09-01,Owner-occupier,Purchase of existing dwellings,66943.0,23590.5
